name_file	start_time	end_time	mean_F0(Hz)	mean_HNR(dB)	mean_intensity(dB)	mean_F1(Hz)	mean_F2(Hz)	mean_F3(Hz)	mean_F4(Hz)	Jitter	Shimmer	CoG	Kurtosis	Skweness
S2_Female_sentence_09.wav	0	0.005	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--
S2_Female_sentence_09.wav	0.2050000000000001	0.2100000000000001	--undefined--	-200	58.205835692148625	582.359076244268	1802.707960242537	2609.163850032916	4041.1662949618126
S2_Female_sentence_09.wav	0.2100000000000001	0.2150000000000001	--undefined--	-200	56.94854387337925	592.3627832580621	1587.2840393232402	2661.2712436592833	4123.343613653823
S2_Female_sentence_09.wav	0.2150000000000001	0.2200000000000001	--undefined--	-200	57.899853827588686	1073.5027574360042	2383.3413016908103	3695.5552612887664	4704.464985165861
S2_Female_sentence_09.wav	0.2200000000000001	0.22500000000000012	--undefined--	-200	60.59005340196572	797.9457659597475	2199.802365913137	3235.960695588942	4347.072887277576
S2_Female_sentence_09.wav	0.22500000000000012	0.23000000000000012	--undefined--	-200	61.343306341735484	682.6305076488509	2103.9779327239357	2995.608935138907	4186.72319968174
S2_Female_sentence_09.wav	0.23000000000000012	0.23500000000000013	--undefined--	-200	61.162246801086276	668.3312426488546	2187.3596541428346	2818.514485889883	4179.591870482305
S2_Female_sentence_09.wav	0.23500000000000013	0.24000000000000013	--undefined--	-200	60.265834412203425	578.1780958003952	2274.432214339844	2434.5351235920975	4090.6993428993665
S2_Female_sentence_09.wav	0.24000000000000013	0.24500000000000013	--undefined--	-200	59.78965938578044	474.45052031240306	1809.9893832538273	2474.945754689569	3771.305305438082
S2_Female_sentence_09.wav	0.24500000000000013	0.2500000000000001	--undefined--	-200	59.77184268484753	1042.7015509219875	2216.103876609404	3133.043551196485	4419.803398267271
S2_Female_sentence_09.wav	0.2500000000000001	0.2550000000000001	--undefined--	-200	60.42927123853202	1303.9778904765903	2367.4725055067706	3465.8652492025194	4434.876453990904
